[2025-07-11 15:45:10] [INFO    ] discord.client: logging in using static token
[2025-07-11 15:45:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'bb7e7b3d12994867176cd97d84befae3', 'members': [{'user': {'username': 'a_0722', 'public_flags': 64, 'primary_guild': {'tag': 'PRD', 'identity_guild_id': '186610204023062528', 'identity_enabled': True, 'badge': 'ec60c5e6d1f14d3bbff586e2e0b9e54e'}, 'id': '238390592478904320', 'global_name': 'A_^-^:D', 'display_name': 'A_^-^:D', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '180c578b2419ed264086da68b590f10b'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-10-18T19:42:43.679000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Josh', 'public_flags': 0, 'primary_guild': None, 'id': '1393293548203540645', 'global_name': None, 'display_name': None, 'discriminator': '4101', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c15c8aa307e0696c3cc4bb1ca59f5bb5'}, 'roles': ['1393300048086962176'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T18:36:57.774854+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1164287467235586199', 'chunk_index': 0, 'chunk_count': 1}}
[2025-07-11 15:45:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-11 15:45:11] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1164287467235586199.
[2025-07-11 15:45:13] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-07-11 15:45:13] [DEBUG   ] discord.client: Dispatching event ready
[2025-07-11 15:45:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '238390592478904320', 'timestamp': 1752263141, 'member': {'user': {'username': 'a_0722', 'public_flags': 64, 'primary_guild': {'tag': 'PRD', 'identity_guild_id': '186610204023062528', 'identity_enabled': True, 'badge': 'ec60c5e6d1f14d3bbff586e2e0b9e54e'}, 'id': '238390592478904320', 'global_name': 'A_^-^:D', 'display_name': 'A_^-^:D', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '180c578b2419ed264086da68b590f10b'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-10-18T19:42:43.679000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1164287468544196620', 'guild_id': '1164287467235586199'}}
[2025-07-11 15:45:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-11 15:45:39] [DEBUG   ] discord.client: Dispatching event typing
[2025-07-11 15:45:39] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-07-11 15:45:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-11T19:45:41.745000+00:00', 'pinned': False, 'nonce': '1393317336219385856', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-10-18T19:42:43.679000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1393317345472024718', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!job', 'components': [], 'channel_type': 0, 'channel_id': '1164287468544196620', 'author': {'username': 'a_0722', 'public_flags': 64, 'primary_guild': {'tag': 'PRD', 'identity_guild_id': '186610204023062528', 'identity_enabled': True, 'badge': 'ec60c5e6d1f14d3bbff586e2e0b9e54e'}, 'id': '238390592478904320', 'global_name': 'A_^-^:D', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'PRD', 'identity_guild_id': '186610204023062528', 'identity_enabled': True, 'badge': 'ec60c5e6d1f14d3bbff586e2e0b9e54e'}, 'avatar_decoration_data': None, 'avatar': '180c578b2419ed264086da68b590f10b'}, 'attachments': [], 'guild_id': '1164287467235586199'}}
[2025-07-11 15:45:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-11 15:45:39] [DEBUG   ] discord.client: Dispatching event message
[2025-07-11 15:45:39] [DEBUG   ] discord.client: Dispatching event command
[2025-07-11 15:45:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-11T19:45:41.990000+00:00', 'pinned': False, 'nonce': '13946281206298310348', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1393300048086962176'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T18:36:57.774854+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1393317346499629097', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'Get a Job', 'image': {'width': 0, 'url': 'https://eforms.com/images/2018/03/Employment-Job-Application.png', 'proxy_url': 'https://images-ext-1.discordapp.net/external/srH4BjVcRj0fAO7HvqB-34oK1zEUTTlw7bJWUtKZCCg/https/eforms.com/images/2018/03/Employment-Job-Application.png', 'height': 0, 'flags': 0, 'content_type': ''}, 'id': '1393317346499629098', 'description': 'u bum'}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1164287468544196620', 'author': {'username': 'Josh', 'public_flags': 0, 'primary_guild': None, 'id': '1393293548203540645', 'global_name': None, 'display_name_styles': None, 'discriminator': '4101', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c15c8aa307e0696c3cc4bb1ca59f5bb5'}, 'attachments': [], 'guild_id': '1164287467235586199'}}
[2025-07-11 15:45:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-11 15:45:39] [DEBUG   ] discord.client: Dispatching event message
[2025-07-11 15:45:39] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1164287468544196620/messages with {"embeds":[{"image":{"url":"https://eforms.com/images/2018/03/Employment-Job-Application.png"},"flags":0,"type":"rich","description":"u bum","title":"Get a Job"}],"content":null,"components":[],"nonce":"13946281206298310348","enforce_nonce":true,"tts":false} has returned 200
[2025-07-11 15:45:39] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-07-11 15:45:39] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1164287468544196620/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'Get a Job', 'description': 'u bum', 'image': {'url': 'https://eforms.com/images/2018/03/Employment-Job-Application.png', 'proxy_url': 'https://images-ext-1.discordapp.net/external/srH4BjVcRj0fAO7HvqB-34oK1zEUTTlw7bJWUtKZCCg/https/eforms.com/images/2018/03/Employment-Job-Application.png', 'width': 0, 'height': 0, 'flags': 0}}], 'timestamp': '2025-07-11T19:45:41.990000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1393317346499629097', 'channel_id': '1164287468544196620', 'author': {'id': '1393293548203540645', 'username': 'Josh', 'avatar': 'c15c8aa307e0696c3cc4bb1ca59f5bb5', 'discriminator': '4101', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '13946281206298310348'}
[2025-07-11 15:45:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-11T19:45:42.112000+00:00', 'pinned': False, 'nonce': '14762068652774415077', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1393300048086962176'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T18:36:57.774854+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1393317347011330184', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'https://www.indeed.com/', 'components': [], 'channel_type': 0, 'channel_id': '1164287468544196620', 'author': {'username': 'Josh', 'public_flags': 0, 'primary_guild': None, 'id': '1393293548203540645', 'global_name': None, 'display_name_styles': None, 'discriminator': '4101', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c15c8aa307e0696c3cc4bb1ca59f5bb5'}, 'attachments': [], 'guild_id': '1164287467235586199'}}
[2025-07-11 15:45:40] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-11 15:45:40] [DEBUG   ] discord.client: Dispatching event message
[2025-07-11 15:45:40] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1164287468544196620/messages with {"content":"https://www.indeed.com/","components":[],"nonce":"14762068652774415077","enforce_nonce":true,"tts":false} has returned 200
[2025-07-11 15:45:40] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1164287468544196620/messages has received {'type': 0, 'content': 'https://www.indeed.com/', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-07-11T19:45:42.112000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1393317347011330184', 'channel_id': '1164287468544196620', 'author': {'id': '1393293548203540645', 'username': 'Josh', 'avatar': 'c15c8aa307e0696c3cc4bb1ca59f5bb5', 'discriminator': '4101', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '14762068652774415077'}
[2025-07-11 15:45:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-11T19:45:42.354000+00:00', 'pinned': False, 'nonce': '3566305746377075828', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1393300048086962176'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T18:36:57.774854+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1393317348026613760', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'https://www.linkedin.com/', 'components': [], 'channel_type': 0, 'channel_id': '1164287468544196620', 'author': {'username': 'Josh', 'public_flags': 0, 'primary_guild': None, 'id': '1393293548203540645', 'global_name': None, 'display_name_styles': None, 'discriminator': '4101', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c15c8aa307e0696c3cc4bb1ca59f5bb5'}, 'attachments': [], 'guild_id': '1164287467235586199'}}
[2025-07-11 15:45:40] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-11 15:45:40] [DEBUG   ] discord.client: Dispatching event message
[2025-07-11 15:45:40] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1164287468544196620/messages with {"content":"https://www.linkedin.com/","components":[],"nonce":"3566305746377075828","enforce_nonce":true,"tts":false} has returned 200
[2025-07-11 15:45:40] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1164287468544196620/messages has received {'type': 0, 'content': 'https://www.linkedin.com/', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-07-11T19:45:42.354000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1393317348026613760', 'channel_id': '1164287468544196620', 'author': {'id': '1393293548203540645', 'username': 'Josh', 'avatar': 'c15c8aa307e0696c3cc4bb1ca59f5bb5', 'discriminator': '4101', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '3566305746377075828'}
[2025-07-11 15:45:40] [DEBUG   ] discord.client: Dispatching event command_completion
